Abbr. DeltaG DeltaDeltaG ChouParam ConfParamAlphaHelix ZiggBraggParam
Trp 12.4 0.45 1.5 1.34 1.11
Val 11.9 0.14 1.2 1.09 0.95
Ala 13.4 0.77 1.8 1.60 1.07
Ser 12.2 0.35 0.6 0.44 0.76
Asp 11.7 0.15 1.0 1.03 0.68
Arg 13.3 0.68 1.3 1.25 1.03
Glu 12.2 0.27 0.8 1.18 0.97
Thr 11.7 0.11 1.0 0.87 0.82
Lys 13.0 0.65 1.1 1.05 0.94
Tyr 12.1 0.17 0.8 0.61 1.02
His 11.6 0.06 1.0 0.97 0.69
Leu 13.0 0.62 1.2 1.50 1.14
Phe 12.1 0.41 1.3 1.45 1.09
Cys 11.6 0.23 0.7 0.66 0.99
Met 12.8 0.50 1.5 1.44 1.20
Ile 12.0 0.23 1.2 1.31 1.14
Gly 11.3 0.00 0.5 0.47 0.59
Gln 12.8 0.33 1.3 1.22 0.98
Asn 12.0 0.07 0.9 0.80 0.78
Pro 6.5 3 0.3 0.19 0.19
